bank,period,ppnr_to_assets,cet1_ratio,nco_rate,lcr,unrealised_loss_to_cet1
HDFC Bank,2018-06-30,0.0343,0.16448,0.00775,1.3528,0.01498
HDFC Bank,2018-09-30,0.0327,0.16512,0.00732,1.3499,0.01443
HDFC Bank,2018-12-31,0.03488,0.1655,0.00707,1.3534,0.01423
HDFC Bank,2019-03-31,0.03314,0.16536,0.00796,1.3526,0.01402
HDFC Bank,2019-06-30,0.03382,0.16489,0.00822,1.3495,0.01421
HDFC Bank,2019-09-30,0.03365,0.16555,0.00737,1.3512,0.01422
HDFC Bank,2019-12-31,0.03614,0.16514,0.00751,1.3476,0.01431
HDFC Bank,2020-03-31,0.03113,0.16035,0.01584,1.4275,0.01433
HDFC Bank,2020-06-30,0.03074,0.16073,0.01567,1.4307,0.01406
HDFC Bank,2020-09-30,0.03022,0.16095,0.01522,1.432,0.01403
HDFC Bank,2020-12-31,0.03029,0.16089,0.01646,1.429,0.01424
HDFC Bank,2021-03-31,0.02936,0.1605,0.01649,1.4274,0.01448
HDFC Bank,2021-06-30,0.03232,0.16552,0.00716,1.3518,0.00436
HDFC Bank,2021-09-30,0.03479,0.16558,0.00746,1.3526,0.0041
HDFC Bank,2021-12-31,0.03272,0.16524,0.00792,1.3515,0.00407
HDFC Bank,2022-03-31,0.03469,0.16565,0.00716,1.3519,0.01415
HDFC Bank,2022-06-30,0.03646,0.16559,0.00736,1.3489,0.0496
HDFC Bank,2022-09-30,0.03649,0.16575,0.00701,1.3514,0.04922
HDFC Bank,2022-12-31,0.03667,0.16599,0.00742,1.3498,0.04984
HDFC Bank,2023-03-31,0.03455,0.16543,0.008,1.3512,0.04945
HDFC Bank,2023-06-30,0.03562,0.1668,0.00736,1.3522,0.04947
HDFC Bank,2023-09-30,0.03379,0.16574,0.00734,1.3525,0.01486
HDFC Bank,2023-12-31,0.03443,0.16639,0.00759,1.3457,0.01404
HDFC Bank,2024-03-31,0.03347,0.16644,0.00702,1.3548,0.01412
HDFC Bank,2024-06-30,0.03298,0.16647,0.00722,1.3541,0.01442
HDFC Bank,2024-09-30,0.03436,0.16717,0.00819,1.3481,0.01446
ICICI Bank,2018-06-30,0.03161,0.15931,0.00964,1.3193,0.01774
ICICI Bank,2018-09-30,0.03098,0.16021,0.00984,1.326,0.01846
ICICI Bank,2018-12-31,0.03241,0.15962,0.01113,1.3208,0.01741
ICICI Bank,2019-03-31,0.03158,0.15987,0.00914,1.3232,0.01708
ICICI Bank,2019-06-30,0.03184,0.15971,0.01067,1.3185,0.01703
ICICI Bank,2019-09-30,0.03377,0.16035,0.00998,1.3185,0.01759
ICICI Bank,2019-12-31,0.03103,0.15998,0.01113,1.3175,0.01742
ICICI Bank,2020-03-31,0.0271,0.15587,0.01738,1.3995,0.01702
ICICI Bank,2020-06-30,0.02735,0.15568,0.01745,1.3963,0.01764
ICICI Bank,2020-09-30,0.02817,0.15631,0.01716,1.3996,0.01714
ICICI Bank,2020-12-31,0.02931,0.15569,0.01741,1.4033,0.01721
ICICI Bank,2021-03-31,0.02954,0.15573,0.01822,1.3959,0.01783
ICICI Bank,2021-06-30,0.03372,0.1606,0.00938,1.3244,0.00755
ICICI Bank,2021-09-30,0.03111,0.16107,0.00939,1.32,0.00708
ICICI Bank,2021-12-31,0.03234,0.16151,0.00909,1.3219,0.00803
ICICI Bank,2022-03-31,0.03195,0.16044,0.01022,1.3174,0.01717
ICICI Bank,2022-06-30,0.03492,0.16026,0.00903,1.3185,0.05216
ICICI Bank,2022-09-30,0.035,0.16125,0.01034,1.3195,0.05235
ICICI Bank,2022-12-31,0.03378,0.16116,0.00918,1.3167,0.05205
ICICI Bank,2023-03-31,0.03423,0.16235,0.01088,1.3174,0.05214
ICICI Bank,2023-06-30,0.03254,0.16086,0.00932,1.3236,0.05236
ICICI Bank,2023-09-30,0.03135,0.16014,0.00916,1.3168,0.01726
ICICI Bank,2023-12-31,0.03112,0.16122,0.01076,1.3156,0.01806
ICICI Bank,2024-03-31,0.03071,0.16078,0.01084,1.3287,0.01759
ICICI Bank,2024-06-30,0.03163,0.16156,0.01073,1.317,0.01712
ICICI Bank,2024-09-30,0.03278,0.16166,0.00938,1.3196,0.01769
State Bank of India,2018-06-30,0.02176,0.13487,0.01623,1.2483,0.02624
State Bank of India,2018-09-30,0.02301,0.13514,0.01635,1.2502,0.026
State Bank of India,2018-12-31,0.02128,0.13527,0.0161,1.2563,0.02679
State Bank of India,2019-03-31,0.02239,0.13479,0.01711,1.2536,0.02613
State Bank of India,2019-06-30,0.02248,0.13436,0.01693,1.2514,0.02656
State Bank of India,2019-09-30,0.02153,0.13542,0.01605,1.2491,0.02605
State Bank of India,2019-12-31,0.02175,0.13542,0.01747,1.2423,0.02612
State Bank of India,2020-03-31,0.01818,0.13055,0.02437,1.3247,0.02616
State Bank of India,2020-06-30,0.01973,0.12969,0.02486,1.329,0.02603
State Bank of India,2020-09-30,0.01695,0.13035,0.0253,1.3317,0.02687
State Bank of India,2020-12-31,0.01918,0.1308,0.02574,1.3313,0.02641
State Bank of India,2021-03-31,0.0177,0.13067,0.0247,1.333,0.02659
State Bank of India,2021-06-30,0.02278,0.1356,0.01717,1.2523,0.01691
State Bank of India,2021-09-30,0.02273,0.13496,0.01607,1.2465,0.01626
State Bank of India,2021-12-31,0.02351,0.13613,0.0167,1.247,0.01602
State Bank of India,2022-03-31,0.02078,0.13553,0.01631,1.2535,0.0263
State Bank of India,2022-06-30,0.02171,0.13608,0.01607,1.2512,0.06181
State Bank of India,2022-09-30,0.02194,0.13569,0.01659,1.2453,0.06174
State Bank of India,2022-12-31,0.02437,0.13646,0.01657,1.2524,0.06153
State Bank of India,2023-03-31,0.02423,0.13621,0.01627,1.2474,0.06107
State Bank of India,2023-06-30,0.02385,0.13635,0.017,1.2468,0.06106
State Bank of India,2023-09-30,0.02348,0.13584,0.01682,1.2506,0.02642
State Bank of India,2023-12-31,0.02201,0.13693,0.01686,1.2525,0.02628
State Bank of India,2024-03-31,0.02433,0.13622,0.018,1.2548,0.02623
State Bank of India,2024-06-30,0.02211,0.13704,0.0176,1.2462,0.0268
State Bank of India,2024-09-30,0.02121,0.13666,0.01652,1.2508,0.02671
Axis Bank,2018-06-30,0.02369,0.15503,0.01247,1.2914,0.02035
Axis Bank,2018-09-30,0.02614,0.15544,0.01223,1.2916,0.02035
Axis Bank,2018-12-31,0.02582,0.15521,0.01282,1.2888,0.02026
Axis Bank,2019-03-31,0.02573,0.15511,0.01283,1.284,0.02065
Axis Bank,2019-06-30,0.02452,0.15406,0.01268,1.2922,0.02014
Axis Bank,2019-09-30,0.0262,0.15583,0.01333,1.2898,0.02068
Axis Bank,2019-12-31,0.02609,0.15493,0.01259,1.2856,0.02044
Axis Bank,2020-03-31,0.02164,0.15081,0.02172,1.3659,0.0202
Axis Bank,2020-06-30,0.02096,0.1507,0.02013,1.3645,0.02046
Axis Bank,2020-09-30,0.02139,0.15025,0.02107,1.368,0.02021
Axis Bank,2020-12-31,0.02181,0.15074,0.02036,1.374,0.02017
Axis Bank,2021-03-31,0.02052,0.15117,0.02033,1.3733,0.02019
Axis Bank,2021-06-30,0.02587,0.15587,0.01395,1.2962,0.01003
Axis Bank,2021-09-30,0.02616,0.15629,0.01285,1.291,0.01001
Axis Bank,2021-12-31,0.02631,0.15539,0.01359,1.2838,0.01056
Axis Bank,2022-03-31,0.02554,0.15572,0.01394,1.2933,0.02048
Axis Bank,2022-06-30,0.02835,0.15572,0.01228,1.2906,0.05531
Axis Bank,2022-09-30,0.02766,0.15651,0.01314,1.29,0.0563
Axis Bank,2022-12-31,0.02822,0.15676,0.01209,1.2917,0.05503
Axis Bank,2023-03-31,0.02783,0.15571,0.01243,1.2874,0.05533
Axis Bank,2023-06-30,0.02909,0.15634,0.01229,1.2914,0.05515
Axis Bank,2023-09-30,0.02694,0.1553,0.01234,1.284,0.02075
Axis Bank,2023-12-31,0.02736,0.15672,0.01272,1.2855,0.02148
Axis Bank,2024-03-31,0.02546,0.15754,0.01243,1.2883,0.02023
Axis Bank,2024-06-30,0.02444,0.15624,0.0121,1.2897,0.0204
Axis Bank,2024-09-30,0.02634,0.15678,0.01269,1.2927,0.02081
Kotak Mahindra Bank,2018-06-30,0.03203,0.18456,0.00934,1.3994,0.0147
Kotak Mahindra Bank,2018-09-30,0.03256,0.18579,0.00813,1.4008,0.01478
Kotak Mahindra Bank,2018-12-31,0.03264,0.18464,0.00845,1.4014,0.01478
Kotak Mahindra Bank,2019-03-31,0.03364,0.1849,0.00915,1.3928,0.01439
Kotak Mahindra Bank,2019-06-30,0.03131,0.18482,0.00825,1.3995,0.01413
Kotak Mahindra Bank,2019-09-30,0.03284,0.18539,0.00901,1.4021,0.01433
Kotak Mahindra Bank,2019-12-31,0.03339,0.18562,0.0083,1.4061,0.01404
Kotak Mahindra Bank,2020-03-31,0.02869,0.18003,0.01703,1.4763,0.01444
Kotak Mahindra Bank,2020-06-30,0.02893,0.18063,0.01605,1.4777,0.01445
Kotak Mahindra Bank,2020-09-30,0.02974,0.18044,0.01665,1.4816,0.01409
Kotak Mahindra Bank,2020-12-31,0.02755,0.18054,0.01626,1.4773,0.01409
Kotak Mahindra Bank,2021-03-31,0.02755,0.1813,0.01725,1.4792,0.01418
Kotak Mahindra Bank,2021-06-30,0.03059,0.18511,0.00829,1.3968,0.00436
Kotak Mahindra Bank,2021-09-30,0.035,0.18516,0.00884,1.4007,0.00481
Kotak Mahindra Bank,2021-12-31,0.03178,0.18593,0.00982,1.395,0.00464
Kotak Mahindra Bank,2022-03-31,0.03258,0.18561,0.00881,1.4007,0.01489
Kotak Mahindra Bank,2022-06-30,0.03552,0.18563,0.00927,1.3981,0.04932
Kotak Mahindra Bank,2022-09-30,0.03554,0.18636,0.00845,1.3949,0.04927
Kotak Mahindra Bank,2022-12-31,0.03397,0.18616,0.00942,1.4013,0.0494
Kotak Mahindra Bank,2023-03-31,0.03372,0.18645,0.00824,1.3982,0.04973
Kotak Mahindra Bank,2023-06-30,0.03456,0.18617,0.00827,1.3981,0.04924
